#GEO Sample Accession # = 
#Patient ID = 
#Affy platform = 
GEO Sample Accession #	Patient ID	Affy platform
GSM79266	X263C82	HG-U133A
GSM79267	X265C40	HG-U133A
GSM79268	X266C51	HG-U133A
GSM79269	X267C04	HG-U133A
GSM79270	X268C87	HG-U133A
GSM79271	X269C68	HG-U133A
GSM79272	X26C23	HG-U133A
GSM79273	X270C93	HG-U133A
GSM79274	X271C71	HG-U133A
GSM79275	X272C88	HG-U133A
GSM79276	X274C81	HG-U133A
GSM79277	X275C70	HG-U133A
GSM79278	X277C64	HG-U133A
GSM79279	X278C80	HG-U133A
GSM79280	X279C61	HG-U133A
GSM79281	X27C82	HG-U133A
GSM79282	X280C43	HG-U133A
GSM79283	X282C51	HG-U133A
GSM79284	X283C22	HG-U133A
GSM79285	X284C63	HG-U133A
GSM79286	X286C91	HG-U133A
GSM79287	X287C67	HG-U133A
GSM79288	X288C57	HG-U133A
GSM79289	X289C75	HG-U133A
GSM79290	X28C76	HG-U133A
GSM79291	X290C91	HG-U133A
GSM79292	X291C17	HG-U133A
GSM79293	X292C66	HG-U133A
GSM79294	X294C04	HG-U133A
GSM79295	X296C95	HG-U133A
GSM79296	X297C26	HG-U133A
GSM79297	X298C47	HG-U133A
GSM79298	X301C66	HG-U133A
GSM79299	X303C36	HG-U133A
GSM79300	X304C89	HG-U133A
GSM79301	X307C50	HG-U133A
GSM79302	X308C93	HG-U133A
GSM79303	X309C49	HG-U133A
GSM79304	X311A27	HG-U133A
GSM79305	X313A87	HG-U133A
GSM79306	X314B55	HG-U133A
GSM79307	X315C75	HG-U133A
GSM79308	X316C65	HG-U133A
GSM79309	X33C30	HG-U133A
GSM79310	X34C80	HG-U133A
GSM79311	X35C29	HG-U133A
GSM79312	X36C17	HG-U133A
GSM79313	X37C06	HG-U133A
GSM79314	X39C24	HG-U133A
GSM79315	X40C57	HG-U133A
GSM79316	X41C65	HG-U133A
GSM79317	X42C57	HG-U133A
GSM79318	X43C47	HG-U133A
GSM79319	X44A53	HG-U133A
GSM79320	X45A96	HG-U133A
GSM79321	X46A25	HG-U133A
GSM79322	X47A87	HG-U133A
GSM79323	X48A46	HG-U133A
GSM79324	X49A07	HG-U133A
GSM79325	X50A91	HG-U133A
GSM79326	X51A98	HG-U133A
GSM79327	X52A90	HG-U133A
GSM79328	X53A06	HG-U133A
GSM79329	X54A09	HG-U133A
GSM79330	X55A79	HG-U133A
GSM79331	X56A94	HG-U133A
GSM79332	X58A50	HG-U133A
GSM79333	X5B97	HG-U133A
GSM79334	X60A05	HG-U133A
GSM79335	X61A53	HG-U133A
GSM79336	X62A02	HG-U133A
GSM79337	X63A62	HG-U133A
GSM79338	X64A59	HG-U133A
GSM79339	X65A68	HG-U133A
GSM79340	X66A84	HG-U133A
GSM79341	X67A43	HG-U133A
GSM79342	X69A93	HG-U133A
GSM79343	X6B85	HG-U133A
GSM79344	X70A79	HG-U133A
GSM79345	X72A92	HG-U133A
GSM79346	X73A01	HG-U133A
GSM79347	X74A63	HG-U133A
GSM79348	X75A01	HG-U133A
GSM79349	X76A44	HG-U133A
GSM79350	X77A50	HG-U133A
GSM79351	X79A35	HG-U133A
GSM79352	X7B96	HG-U133A
GSM79353	X82A83	HG-U133A
GSM79354	X84A44	HG-U133A
GSM79355	X85A03	HG-U133A
GSM79356	X86A40	HG-U133A
GSM79357	X87A79	HG-U133A
GSM79358	X88A67	HG-U133A
GSM79359	X8B87	HG-U133A
GSM79360	X90A63	HG-U133A
GSM79361	X94A16	HG-U133A
GSM79362	X96A21	HG-U133A
GSM79363	X99A50	HG-U133A
GSM79364	X9B52	HG-U133A
GSM79365	X100B08	HG-U133B
GSM79366	X101B88	HG-U133B
GSM79367	X102B06	HG-U133B
GSM79368	X103B41	HG-U133B
GSM79369	X104B91	HG-U133B
GSM79370	X105B13	HG-U133B
GSM79371	X106B55	HG-U133B
GSM79372	X10B88	HG-U133B
GSM79373	X110B34	HG-U133B
GSM79374	X111B51	HG-U133B
GSM79375	X112B55	HG-U133B
GSM79376	X113B11	HG-U133B
GSM79377	X114B68	HG-U133B
GSM79378	X11B47	HG-U133B
GSM79379	X120B73	HG-U133B
GSM79380	X122B81	HG-U133B
GSM79381	X124B25	HG-U133B
GSM79382	X127B00	HG-U133B
GSM79383	X128B48	HG-U133B
GSM79384	X130B92	HG-U133B
GSM79385	X131B79	HG-U133B
GSM79386	X134B33	HG-U133B
GSM79387	X135B40	HG-U133B
GSM79388	X136B04	HG-U133B
GSM79389	X137B88	HG-U133B
GSM79390	X138B34	HG-U133B
GSM79391	X139B03	HG-U133B
GSM79392	X13B79	HG-U133B
GSM79393	X140B91	HG-U133B
GSM79394	X142B05	HG-U133B
GSM79395	X143B81	HG-U133B
GSM79396	X144B49	HG-U133B
GSM79397	X145B10	HG-U133B
GSM79398	X146B39	HG-U133B
GSM79399	X147B19	HG-U133B
GSM79400	X148B49	HG-U133B
GSM79401	X14B98	HG-U133B
GSM79402	X150B81	HG-U133B
GSM79403	X151B84	HG-U133B
GSM79404	X152B99	HG-U133B
GSM79405	X153B09	HG-U133B
GSM79406	X154B42	HG-U133B
GSM79407	X155B52	HG-U133B
GSM79408	X156B01	HG-U133B
GSM79409	X158B84	HG-U133B
GSM79410	X159B47	HG-U133B
GSM79411	X15C94	HG-U133B
GSM79412	X160B16	HG-U133B
GSM79413	X161B31	HG-U133B
GSM79414	X162B98	HG-U133B
GSM79415	X163B27	HG-U133B
GSM79416	X164B81	HG-U133B
GSM79417	X165B72	HG-U133B
GSM79418	X166B79	HG-U133B
GSM79419	X168B51	HG-U133B
GSM79420	X169B79	HG-U133B
GSM79421	X16C97	HG-U133B
GSM79422	X170B15	HG-U133B
GSM79423	X171B77	HG-U133B
GSM79424	X172B19	HG-U133B
GSM79425	X173B43	HG-U133B
GSM79426	X174B41	HG-U133B
GSM79427	X175B72	HG-U133B
GSM79428	X176B74	HG-U133B
GSM79429	X177B67	HG-U133B
GSM79430	X178B74	HG-U133B
GSM79431	X179B28	HG-U133B
GSM79432	X17C40	HG-U133B
GSM79433	X180B38	HG-U133B
GSM79434	X181B70	HG-U133B
GSM79435	X182B43	HG-U133B
GSM79436	X183B75	HG-U133B
GSM79437	X184B38	HG-U133B
GSM79438	X185B44	HG-U133B
GSM79439	X186B22	HG-U133B
GSM79440	X187B36	HG-U133B
GSM79441	X188B13	HG-U133B
GSM79442	X189B83	HG-U133B
GSM79443	X18C56	HG-U133B
GSM79444	X191B79	HG-U133B
GSM79445	X192B69	HG-U133B
GSM79446	X193B72	HG-U133B
GSM79447	X194B60	HG-U133B
GSM79448	X195B75	HG-U133B
GSM79449	X196B81	HG-U133B
GSM79450	X197B95	HG-U133B
GSM79451	X198B90	HG-U133B
GSM79452	X199B55	HG-U133B
GSM79453	X19C33	HG-U133B
GSM79454	X200B47	HG-U133B
GSM79455	X201B68	HG-U133B
GSM79456	X202B44	HG-U133B
GSM79457	X203B49	HG-U133B
GSM79458	X204B85	HG-U133B
GSM79459	X205B99	HG-U133B
GSM79460	X206C05	HG-U133B
GSM79461	X207C08	HG-U133B
GSM79462	X208C06	HG-U133B
GSM79463	X209C10	HG-U133B
GSM79464	X210C72	HG-U133B
GSM79465	X211C88	HG-U133B
GSM79466	X212C21	HG-U133B
GSM79467	X213C36	HG-U133B
GSM79468	X216C61	HG-U133B
GSM79469	X217C79	HG-U133B
GSM79470	X218C29	HG-U133B
GSM79471	X21C28	HG-U133B
GSM79472	X220C70	HG-U133B
GSM79473	X221C14	HG-U133B
GSM79474	X222C26	HG-U133B
GSM79475	X223C51	HG-U133B
GSM79476	X224C93	HG-U133B
GSM79477	X225C52	HG-U133B
GSM79478	X226C06	HG-U133B
GSM79479	X227C50	HG-U133B
GSM79480	X229C44	HG-U133B
GSM79481	X22C62	HG-U133B
GSM79482	X230C47	HG-U133B
GSM79483	X231C80	HG-U133B
GSM79484	X232C58	HG-U133B
GSM79485	X233C91	HG-U133B
GSM79486	X234C15	HG-U133B
GSM79487	X235C20	HG-U133B
GSM79488	X236C55	HG-U133B
GSM79489	X237C56	HG-U133B
GSM79490	X238C87	HG-U133B
GSM79491	X239C32	HG-U133B
GSM79492	X23C52	HG-U133B
GSM79493	X240C54	HG-U133B
GSM79494	X241C01	HG-U133B
GSM79495	X242C21	HG-U133B
GSM79496	X243C70	HG-U133B
GSM79497	X244C89	HG-U133B
GSM79498	X245C22	HG-U133B
GSM79499	X246C75	HG-U133B
GSM79500	X247C76	HG-U133B
GSM79501	X248C91	HG-U133B
GSM79502	X249C42	HG-U133B
GSM79503	X24C30	HG-U133B
GSM79504	X250C78	HG-U133B
GSM79505	X251C14	HG-U133B
GSM79506	X252C64	HG-U133B
GSM79507	X253C20	HG-U133B
GSM79508	X254C80	HG-U133B
GSM79509	X255C06	HG-U133B
GSM79510	X256C45	HG-U133B
